,country,year,CH4,CO2,mining,GHG,N20,NO,Renewable,SO2,copdDalys,prev_CH4,prev_CO2,prev_mining,prev_GHG,prev_N20,prev_NO,prev_Renewable,prev_SO2,prev_copdDalys
2,Albania,1991_to_1992,-21.8399999999999,-1855.64,-1.78,-1905.38,-27.9,-5.48,0.820000000000007,-0.31,-556.441501094061,39.6900000000001,2065.04,-0.57,2145.03,40.3,3.26,7.45999999999999,0.34,118.297749239115
3,Albania,1992_to_1993,94.71,-75.5900000000001,-0.38,6.72000000000025,-12.4,0.529999999999999,-0.769999999999996,0.01,-665.768194889588,-21.8399999999999,-1855.64,-1.78,-1905.38,-27.9,-5.48,0.820000000000007,-0.31,-556.441501094061
4,Albania,1993_to_1994,53.3399999999999,265.02,-0.13,318.36,0,2.69,1.5,-0.04,-876.454513065328,94.71,-75.5900000000001,-0.38,6.72000000000025,-12.4,0.529999999999999,-0.769999999999996,0.01,-665.768194889588
5,Albania,1994_to_1995,3.56999999999994,-23.0699999999997,-0.11,-22.5999999999995,-3.09999999999999,-0.68,-1.38000000000001,-0.0299999999999999,-26.7355428161209,53.3399999999999,265.02,-0.13,318.36,0,2.69,1.5,-0.04,-876.454513065328
6,Albania,1995_to_1996,259.98,-135.86,-0.18,114.82,-9.3,0,1.39,-0.03,-34.3816000225052,3.56999999999994,-23.0699999999997,-0.11,-22.5999999999995,-3.09999999999999,-0.68,-1.38000000000001,-0.0299999999999999,-26.7355428161209
7,Albania,1996_to_1997,29.6100000000001,85.0799999999999,0.01,108.49,-6.2,1.2,0.359999999999999,-0.06,-180.692062742308,259.98,-135.86,-0.18,114.82,-9.3,0,1.39,-0.03,-34.3816000225052
8,Albania,1997_to_1998,14.28,712.420000000001,-0.18,723.6,-3.09999999999999,4.33,0.109999999999999,-0.02,-339.196034209404,29.6100000000001,85.0799999999999,0.01,108.49,-6.2,1.2,0.359999999999999,-0.06,-180.692062742308
9,Albania,1998_to_1999,130.41,339.27,0.0999999999999999,472.78,3.09999999999999,3.36,0.810000000000002,-0.05,-495.72313223044,14.28,712.420000000001,-0.18,723.6,-3.09999999999999,4.33,0.109999999999999,-0.02,-339.196034209404
10,Albania,1999_to_2000,407.93,-970.43,-0.01,-528.28,34.22,-9.21,-0.950000000000003,0.19,-391.49437520462,130.41,339.27,0.0999999999999999,472.78,3.09999999999999,3.36,0.810000000000002,-0.05,-495.72313223044
11,Albania,2000_to_2001,-39.6700000000001,716.2,-0.00999999999999979,679.63,3.09999999999999,0.16,-0.669999999999987,0.0800000000000001,-602.075116100426,407.93,-970.43,-0.01,-528.28,34.22,-9.21,-0.950000000000003,0.19,-391.49437520462
12,Albania,2001_to_2002,-43.4500000000003,59.8499999999995,-0.18,16.4099999999999,0.0100000000000051,0.66,0.75,0.01,18.9245504063965,-39.6700000000001,716.2,-0.00999999999999979,679.63,3.09999999999999,0.16,-0.669999999999987,0.0800000000000001,-602.075116100426
13,Albania,2002_to_2003,25.4300000000003,330.8,-0.15,356.22,-0.0100000000000051,1.5,1.41999999999999,0.08,265.653091506372,-43.4500000000003,59.8499999999995,-0.18,16.4099999999999,0.0100000000000051,0.66,0.75,0.01,18.9245504063965
14,Albania,2003_to_2004,37.8199999999997,324.36,0.17,365.28,3.10000000000001,2.85,0.170000000000002,0.08,-125.124538106589,25.4300000000003,330.8,-0.15,356.22,-0.0100000000000051,1.5,1.41999999999999,0.08,265.653091506372
15,Albania,2004_to_2005,-72.8499999999999,14.2200000000003,0.63,-61.5799999999999,-2.95,2.87,-0.039999999999992,-0.55,-380.838139630607,37.8199999999997,324.36,0.17,365.28,3.10000000000001,2.85,0.170000000000002,0.08,-125.124538106589
16,Albania,2005_to_2006,58.1900000000001,-8.94999999999982,-0.0900000000000001,52.1999999999998,2.95,3.48,-0.27000000000001,0.75,-548.175749073249,-72.8499999999999,14.2200000000003,0.63,-61.5799999999999,-2.95,2.87,-0.039999999999992,-0.55,-380.838139630607
17,Albania,2006_to_2007,-82.51,450.68,0.2,368.14,-0.0300000000000011,4.32,-0.759999999999991,0.17,-350.817580233486,58.1900000000001,-8.94999999999982,-0.0900000000000001,52.1999999999998,2.95,3.48,-0.27000000000001,0.75,-548.175749073249
18,Albania,2007_to_2008,-110.86,135.24,0.36,79.4699999999993,3.09,5.37,0.579999999999998,0.15,40.4665916985614,-82.51,450.68,0.2,368.14,-0.0300000000000011,4.32,-0.759999999999991,0.17,-350.817580233486
19,Albania,2008_to_2009,56.52,412.27,-0.46,494.76,-0.0200000000000102,9.43,1.84,0.26,-15.3305530447633,-110.86,135.24,0.36,79.4699999999993,3.09,5.37,0.579999999999998,0.15,40.4665916985614
21,Australia,1991_to_1992,-22.6900000000005,5039.78000000003,-0.0499999999999998,4201.16999999998,-0.640000000000001,45.8799999999999,-0.389999999999999,82.1700000000001,3442.5884724847,-2.97999999999956,1448,-0.0999999999999996,1016.83000000002,-1.27,-24.6299999999999,0.67,-14.97,689.916522600281
22,Australia,1992_to_1993,-144.94,4322.75,-0.350000000000001,396.179999999993,1.57,42.8299999999999,0.489999999999998,90.21,1188.36359342371,-22.6900000000005,5039.78000000003,-0.0499999999999998,4201.16999999998,-0.640000000000001,45.8799999999999,-0.389999999999999,82.1700000000001,3442.5884724847
23,Australia,1993_to_1994,-131.320000000001,4779.77000000002,0,40.7700000000186,1.61,2.06000000000017,-0.42,21.75,3169.99615520064,-144.94,4322.75,-0.350000000000001,396.179999999993,1.57,42.8299999999999,0.489999999999998,90.21,1188.36359342371
24,Australia,1994_to_1995,-67.0699999999997,11395.21,0.31,8351.57000000001,-2.45,6.54999999999995,-0.559999999999999,-90.8100000000002,829.687999007088,-131.320000000001,4779.77000000002,0,40.7700000000186,1.61,2.06000000000017,-0.42,21.75,3169.99615520064
25,Australia,1995_to_1996,7.89999999999964,6951.42000000004,-0.28,7676.94999999995,4.25,51.5999999999999,-0.520000000000001,88.1100000000001,3293.85627920291,-67.0699999999997,11395.21,0.31,8351.57000000001,-2.45,6.54999999999995,-0.559999999999999,-90.8100000000002,829.687999007088
